English, Tamil
sauti said, சௌதி சொன்னார்
the nagas after consultation arrived at the conclusion that they should do their mothers bidding, தாயின் கத்ருவின் ஆசை நிராசையானால்
for she failed in obtaining her desire she might withdraw her affection and burn them all, அவள் தங்கள் மீது வைத்திருக்கும் பாசத்தைத் துறந்து தங்களை எரித்துவிடுவாளோ என்ற பயத்தில்
on the other hand, பாம்புகள் தங்களுக்குள் கலந்து பேசி
she were graciously inclined, அவளது ஆணையை நிறைவேற்றுவது என்று முடிவு செய்தனர்
she might free them from her curse, மற்றொருபுறம்
they said, அவள் கருணை தங்களுக்குக் கிடைக்குமானால்
we will certainly render the horses tail black, தங்களைச் சாபத்திலிருந்து விடுவிப்பாள் என்ற எண்ணத்தில்
and it is said that they then went and became hairs in the horses tail, நாம் நிச்சயமாகக் குதிரையின் வாலைக் கருப்பாக்குவோம் என்றனர்
now the two co-wives had laid the wager, பிறகு அந்தப் பாம்புகள் சென்று குதிரையின் வாலின் முடிகளாக மாறினர் என்று சொல்லப்படுகிறது
and having laid the wager, பந்தயம் கட்டிக்கொண்ட அந்தச் சக்களத்திகளும் கசியபரின் மனைவிகள்
o best of brahmanas, ஓ பிராமணர்களில் சிறந்தவரே
the two sisters kadru and vinata, தக்ஷனின் மகள்களும்
the daughters of daksha, சகோதரிகளுமான கத்ரு மற்றும் வினதை ஆகிய இருவரும்
proceeded in great delight along the sky to see the other side of the ocean, கடலின் அக்கரையைக் காண வான் வெளியில் மகிழ்ச்சியுடன் விரைந்தனர்
and on their way they saw the ocean, அப்படிச் செல்லும்போது
that receptacle of waters, எளிதாகக் கலங்கடிக்கப்பட முடியாததான அந்த நீர்ப்பாத்திரமானது
incapable of being easily disturbed, திடீரென்று வலிமைமிகுந்த காற்றால் அசைக்கப்பட்டுப் பேரொலியுடன் கர்ஜிப்பதைக் கண்டனர்
mightily agitated all of a sudden by the wind, திமிங்கலங்களையே விழுங்கும் பெரிய மீன்கள்
and roaring tremendously, மகரங்கள்
abounding with fishes capable of swallowing the whale and full of makaras, ஆயிரக்கணக்கான வெவ்வெறு வடிவங்களிலாலான பல்வேறு உயிரிகளுடன்
containing also creatures of diverse forms counted by thousands, கொடுமையான பெரும் விலங்குகளுடன் அச்சத்தைத் தருவதாக
frightful from the presence of horrible monsters, அணுக முடியாத ஆழத்தோடு பயங்கரமாக
inaccessible, எல்லா வகையான ரத்தினங்களின் சுரங்கமாக
deep, வருணனின் நீர் கடவுள் இல்லமாக
and terrible, நாகர்களின் வசிப்பிடமாக
the mine of all kinds of gems, ஆறுகள் அனைத்திற்கும் அரசனாக
the home of varuna the water-god, பூமிக்கடியில் உள்ள நெருப்பின் இருப்பிடமாக
the wonderful habitations of the nagas, அசுரர்களுக்கு வசிப்பிடமாக
the lord of rivers, எல்லாப் பயங்கரமான உயிரினங்களுக்கும் இருப்பிடமாக
the abode of the subterranean fire, நீர்க்களஞ்சியமாக
the residence of the asuras and of many dreadful creatures, அழுகுதலில்லாமல் கெடாமல் நறுமணம் மிக்கதாக
the reservoir of water, அற்புதமானதாக
not subject to decay, தேவர்களுடைய அமுதத்தின் ஊற்றாக
aromatic, அளக்கமுடியாததாக
and wonderful, புத்திக்கு எட்டாததாக
the great source of the amrita of the celestials, புனிதமான நீரைக் கொண்டதாக
immeasurable and inconceivable, ஆயிரக்கணக்கான பெரிய ஆறுகளின் நீரினால் விளிம்பு வரை நிறைந்திருந்ததாக
containing waters that are holy, அலைகள் நாட்டியமாடிக்கொண்டிருந்த
filled to the brim by many thousands of great rivers, கடலை அவர்கள் கண்டனர்
dancing as it were in waves, புரளும் அலைகளுடன் விண்ணைப் போல் பெரும்பரப்புக் கொண்டதாக
such was the ocean, ஆழமானதாக
full of rolling waves, பூமிக்கடியில் உள்ள நெருப்பினால் சுடர்மேனி கொண்டதாக
vast as the expanse of the sky, பூமிக்கடியில் உள்ள நெருப்பினால் சுடர்மேனி கொண்டதாக
deep, கர்ஜனை செய்வதாக இருந்த அந்தக் கடலைச் சகோதரிகள் இருவரும் கத்ருவும்
of body lighted with the flames of subterranean fire, கர்ஜனை செய்வதாக இருந்த அந்தக் கடலைச் சகோதரிகள் இருவரும் கத்ருவும்
and roaring, வினதையும் வேகமாகக் கடந்தனர் என்றார் சௌதி
which the sisters quickly passed over, வினதையும் வேகமாகக் கடந்தனர் என்றார் சௌதி
sauti said, சௌதி சொன்னார் கடலைக் கடந்ததும்
having crossed the ocean, துரிதமான வேகம் கொண்ட கத்ரு தன் சகோதரி வினதையுடன் குதிரைக்கு அருகில் இறங்கினாள்
kadru of swt speed, அவர்கள் இருவரும் வேகமாக ஓடக்கூடிய குதிரைகளில் முதன்மையான அந்தக் குதிரை உச்சைஸ்ரவஸ்
accompanied by vinata, சந்திரக்கதிர்களைப் போல உடல் முழுவதும் வெள்ளையாகவும்
soon alighted near the horse, வாலில் கருமுடிகளுடன் இருந்ததையும் கண்டனர்
